name,meal_type,diet_type,calories,protein,fats,carbs,fiber,sugar,iron,sodium,cholesterol,recipe_link
Spiced Pumpkin Pancakes,breakfast,lacto ovo vegetarian,105.45,2.97,1.78,20.53,2.23,8.07,0.8,212.68,11.89,https://spoonacular.com/recipes/Spiced-Pumpkin-Pancakes-660985
Homemade Pumpkin Muffins,breakfast,"dairy free, lacto ovo vegetarian",141.95,1.95,4.78,23.85,0.76,14.37,1.11,740.31,20.67,https://spoonacular.com/recipes/Homemade-Pumpkin-Muffins-647084
Zomppa's Blueberry Muffins,breakfast,lacto ovo vegetarian,140.91,3.53,2.88,26.06,1.66,10.32,1.01,216.51,19.65,https://spoonacular.com/recipes/Zomppa's-Blueberry-Muffins-665667
Never Fail Pumpkin Muffins,breakfast,lacto ovo vegetarian,213.01,3.3,9.17,30.26,0.82,18.26,0.45,236.21,37.02,https://spoonacular.com/recipes/Never-Fail-Pumpkin-Muffins-653019
Baby Blake’s Oatmeal Breakfast Cookies,breakfast,"dairy free, lacto ovo vegetarian",140.46,2.9,3.03,26.15,1.8,7.73,1.16,91.59,5.81,https://spoonacular.com/recipes/Baby-Blake’s-Oatmeal-Breakfast-Cookies-633219
Birthday Pancakes,breakfast,unknown,53.41,3.33,0.49,8.88,0.39,5.72,0.0,103.61,0.75,https://spoonacular.com/recipes/Birthday-Pancakes-635001
Ricotta Chocolate Chips Scones,breakfast,unknown,291.95,5.92,12.18,39.92,0.78,16.52,1.54,238.87,27.78,https://spoonacular.com/recipes/Ricotta-Chocolate-Chips-Scones-658326
Spicy Pumpkin Carrot Muffins,breakfast,lacto ovo vegetarian,220.92,2.5,7.59,36.87,0.97,23.51,1.46,135.48,29.05,https://spoonacular.com/recipes/Spicy-Pumpkin-Carrot-Muffins-661170
"Banana Bread Muffins, Bisquick",breakfast,"dairy free, lacto ovo vegetarian, fodmap friendly",259.16,4.24,11.34,37.16,1.78,25.55,0.93,173.28,49.34,"https://spoonacular.com/recipes/Banana-Bread-Muffins,-Bisquick-634003"
Fluffy Spelt Pancakes,breakfast,lacto ovo vegetarian,144.89,5.33,3.73,21.93,3.71,5.03,1.58,441.83,34.26,https://spoonacular.com/recipes/Fluffy-Spelt-Pancakes-643153
Xocai Healthy Chocolate Muffins,breakfast,lacto ovo vegetarian,245.14,4.41,11.72,30.89,1.18,13.56,1.89,307.14,53.71,https://spoonacular.com/recipes/Xocai-Healthy-Chocolate-Muffins-631764
Pumpkin Coffee Cake,breakfast,lacto ovo vegetarian,205.34,2.22,12.45,22.33,0.87,16.32,0.73,206.83,51.67,https://spoonacular.com/recipes/Pumpkin-Coffee-Cake-657274
Low Carb Keto Pancakes,breakfast,"gluten free, lacto ovo vegetarian, ketogenic",405.47,15.98,33.0,16.3,4.23,3.07,2.58,458.0,214.63,https://spoonacular.com/recipes/Low-Carb-Keto-Pancakes-1957598
Pumpkin Spice Waffles with Walnuts,breakfast,dairy free,163.6,4.42,4.92,25.19,0.92,2.27,1.76,330.34,40.92,https://spoonacular.com/recipes/Pumpkin-Spice-Waffles-with-Walnuts-657396
Cinnamon Buns With Maple Glaze,breakfast,lacto ovo vegetarian,369.05,4.68,13.46,58.81,1.78,34.44,0.58,286.7,44.16,https://spoonacular.com/recipes/Cinnamon-Buns-With-Maple-Glaze-639445
Chocolate Cream Cheese Muffins,breakfast,unknown,249.0,3.64,13.71,29.18,1.32,16.78,1.32,133.8,32.37,https://spoonacular.com/recipes/Chocolate-Cream-Cheese-Muffins-638974
Reduced Fat Blueberry Cheesecake Crepes,breakfast,lacto ovo vegetarian,162.21,5.89,4.73,24.0,0.87,10.81,1.0,217.51,51.98,https://spoonacular.com/recipes/Reduced-Fat-Blueberry-Cheesecake-Crepes-658132
Espresso Coffee Cake Muffins,breakfast,lacto ovo vegetarian,360.67,5.24,17.76,45.76,1.46,23.85,1.74,374.34,57.83,https://spoonacular.com/recipes/Espresso-Coffee-Cake-Muffins-642456
Parmesan Cheese Scones,breakfast,unknown,245.48,7.7,16.86,16.14,0.79,1.49,1.24,433.41,89.71,https://spoonacular.com/recipes/Parmesan-Cheese-Scones-654657
Pumpkin Spice Quick Bread,breakfast,lacto ovo vegetarian,308.96,4.43,13.35,44.0,0.64,25.8,1.46,328.04,73.25,https://spoonacular.com/recipes/Pumpkin-Spice-Quick-Bread-657395
"Tomato, Basil & Parmesan Muffins",breakfast,"gluten free, primal, ketogenic",159.52,6.51,12.52,5.26,2.57,1.24,0.98,301.17,132.29,"https://spoonacular.com/recipes/Tomato,-Basil-&-Parmesan-Muffins-1096206"
Gluten-Free Coconut Flour Pancakes,breakfast,"dairy free, lacto ovo vegetarian",194.92,7.24,12.17,16.02,3.72,9.8,1.62,542.03,163.68,https://spoonacular.com/recipes/Gluten-Free-Coconut-Flour-Pancakes-644879
Blueberry & Orange Maple Scones,breakfast,lacto ovo vegetarian,278.56,3.32,14.84,33.32,0.81,18.8,1.1,307.12,60.17,https://spoonacular.com/recipes/Blueberry-&-Orange-Maple-Scones-635394
Blueberry Coconut Muffins,breakfast,"gluten free, dairy free, lacto ovo vegetarian, fodmap friendly",305.68,4.23,19.41,31.42,6.36,21.03,2.15,312.5,27.28,https://spoonacular.com/recipes/Blueberry-Coconut-Muffins-635443
Skinny Chocolate Banana Bread,breakfast,"gluten free, lacto ovo vegetarian",267.16,4.95,6.97,49.46,2.75,34.14,1.18,376.03,17.08,https://spoonacular.com/recipes/Skinny-Chocolate-Banana-Bread-1019171
Pumpkin Doughnuts,breakfast,"dairy free, lacto ovo vegetarian",140.26,2.48,5.6,20.58,0.88,11.91,0.54,150.53,31.0,https://spoonacular.com/recipes/Pumpkin-Doughnuts-918034
Pop Tart,breakfast,dairy free,332.7,4.15,12.16,51.29,1.5,22.43,1.5,202.34,40.92,https://spoonacular.com/recipes/Pop-Tart-656663
Gluten Free Low Carb Lemon Basil Muffins,breakfast,"gluten free, lacto ovo vegetarian",299.86,9.14,27.54,15.16,3.73,1.75,1.74,374.74,112.34,https://spoonacular.com/recipes/Gluten-Free-Low-Carb-Lemon-Basil-Muffins-1096200
Tiger Nut Breakfast Bars,breakfast,"gluten free, dairy free, paleolithic, primal",347.22,6.05,17.82,45.15,12.64,23.46,1.22,59.61,0.0,https://spoonacular.com/recipes/Tiger-Nut-Breakfast-Bars-1096256
Double Chocolate Zucchini Bread,breakfast,unknown,235.51,3.56,5.51,44.86,1.27,37.19,1.17,278.17,55.15,https://spoonacular.com/recipes/Double-Chocolate-Zucchini-Bread-641599
Shirred Eggs - My Favorite Breakfast Mini-Meal with Maximum Flavor and Minimal Effort,breakfast,"gluten free, primal, ketogenic",142.25,8.18,11.7,0.82,0.0,0.47,0.95,349.69,207.31,https://spoonacular.com/recipes/Shirred-Eggs---My-Favorite-Breakfast-Mini-Meal-with-Maximum-Flavor-and-Minimal-Effort-1697715
Easy Zesty Blueberry Muffins with Streusel Topping,breakfast,lacto ovo vegetarian,353.34,4.16,13.09,56.41,1.24,37.18,1.45,292.43,59.62,https://spoonacular.com/recipes/Easy-Zesty-Blueberry-Muffins-with-Streusel-Topping-1697741
Banana Bread with Chocolate Glaze,breakfast,unknown,208.48,3.63,8.4,30.64,1.41,16.24,1.19,177.32,34.72,https://spoonacular.com/recipes/Banana-Bread-with-Chocolate-Glaze-634010
Pumpkin Praline Baked Oatmeal,breakfast,gluten free,464.16,8.95,25.43,52.7,6.58,22.26,2.49,644.81,125.99,https://spoonacular.com/recipes/Pumpkin-Praline-Baked-Oatmeal-657361
Healthy Blueberry Muffins,breakfast,lacto ovo vegetarian,119.4,2.59,3.95,19.54,1.59,9.52,0.55,137.6,18.24,https://spoonacular.com/recipes/Healthy-Blueberry-Muffins-918029
Mini Chocolate Chip & Flax Banana Muffins,breakfast,"gluten free, dairy free",55.22,0.69,2.07,8.79,0.6,3.89,0.35,78.51,0.38,https://spoonacular.com/recipes/Mini-Chocolate-Chip-&-Flax-Banana-Muffins-651942
Whole Wheat Apple Orange Muffins,breakfast,lacto ovo vegetarian,174.71,2.47,6.11,28.97,1.72,17.9,0.76,151.15,25.34,https://spoonacular.com/recipes/Whole-Wheat-Apple-Orange-Muffins-665269
Whole Wheat Banana Bread with Walnuts,breakfast,lacto ovo vegetarian,190.67,4.96,4.42,34.39,2.32,16.03,1.34,202.65,31.21,https://spoonacular.com/recipes/Whole-Wheat-Banana-Bread-with-Walnuts-1012493
Irish Soda Bread with Raisins,breakfast,lacto ovo vegetarian,158.02,2.21,7.37,22.34,0.93,9.7,0.6,458.04,20.2,https://spoonacular.com/recipes/Irish-Soda-Bread-with-Raisins-648004
"Blueberry, Chocolate & Cocao Superfood Pancakes - Gluten-Free/Paleo/Vegan",breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, fodmap friendly, vegan",774.66,13.02,42.85,90.32,16.73,8.44,6.19,342.92,0.01,"https://spoonacular.com/recipes/Blueberry,-Chocolate-&-Cocao-Superfood-Pancakes---Gluten-Free/Paleo/Vegan-1100990"
Whole Grain Pumpkin Bread,breakfast,lacto ovo vegetarian,241.49,4.64,9.95,37.77,3.77,19.42,2.21,214.41,33.98,https://spoonacular.com/recipes/Whole-Grain-Pumpkin-Bread-665257
Sour Cream Coffee Cake,breakfast,unknown,608.77,8.16,27.46,83.52,1.56,45.08,2.79,400.92,113.97,https://spoonacular.com/recipes/Sour-Cream-Coffee-Cake-1697671
Apple Pie Pancakes,breakfast,dairy free,76.12,0.71,1.71,16.28,3.37,10.51,0.33,14.41,6.34,https://spoonacular.com/recipes/Apple-Pie-Pancakes-632577
Chocolate Chip Coconut Muffins,breakfast,"gluten free, dairy free, fodmap friendly",263.18,5.0,11.29,36.54,4.1,17.5,1.48,261.2,31.15,https://spoonacular.com/recipes/Chocolate-Chip-Coconut-Muffins-638917
Fastest Cinnamon Rolls,breakfast,lacto ovo vegetarian,257.88,5.04,9.07,39.55,0.73,22.08,1.28,282.6,24.34,https://spoonacular.com/recipes/Fastest-Cinnamon-Rolls-642617
Gluten Free Waffles,breakfast,"gluten free, dairy free, lacto ovo vegetarian",270.05,5.41,13.98,32.85,1.4,1.85,2.47,408.2,61.38,https://spoonacular.com/recipes/Gluten-Free-Waffles-644860
Royal Wedding Pear and Coriander Scones,breakfast,"gluten free, lacto ovo vegetarian",284.2,5.0,16.24,32.84,4.04,9.93,1.52,474.0,79.5,https://spoonacular.com/recipes/Royal-Wedding-Pear-and-Coriander-Scones-658850
Aebleskiver Danish Pancakes,breakfast,lacto ovo vegetarian,97.93,2.79,6.13,8.04,0.0,3.99,0.41,273.46,42.43,https://spoonacular.com/recipes/Aebleskiver-Danish-Pancakes-631993
White Cheddar Grits with Veggies,breakfast,"gluten free, lacto ovo vegetarian",331.5,17.55,18.85,26.61,3.75,4.78,2.63,875.42,88.08,https://spoonacular.com/recipes/White-Cheddar-Grits-with-Veggies-1096024
Protein Packed Carrot Muffins,breakfast,"gluten free, fodmap friendly, ketogenic",427.13,24.61,30.39,20.33,11.71,5.26,4.91,542.1,77.06,https://spoonacular.com/recipes/Protein-Packed-Carrot-Muffins-657178
Pain Perdu - Brioche French Toast,breakfast,lacto ovo vegetarian,376.24,3.91,37.62,7.17,0.0,4.39,0.3,81.01,174.46,https://spoonacular.com/recipes/Pain-Perdu---Brioche-French-Toast-654344
Apple Nut Sour Cream Coffee Cake,breakfast,unknown,957.27,13.13,54.64,108.61,4.93,62.15,3.82,342.44,174.75,https://spoonacular.com/recipes/Apple-Nut-Sour-Cream-Coffee-Cake-1681371
Mini Ham Omelets,breakfast,"gluten free, primal",91.11,4.34,5.15,7.78,2.08,4.72,0.78,95.1,60.87,https://spoonacular.com/recipes/Mini-Ham-Omelets-636769
Spinach Almond Amaranth Breakfast Muffins,breakfast,"gluten free, dairy free, lacto ovo vegetarian, fodmap friendly",141.99,6.25,10.11,8.22,2.0,0.52,1.55,215.44,72.75,https://spoonacular.com/recipes/Spinach-Almond-Amaranth-Breakfast-Muffins-661251
Easy Blueberry Muffin,breakfast,"dairy free, lacto ovo vegetarian",468.24,9.28,8.31,89.21,1.69,40.33,3.91,362.08,81.84,https://spoonacular.com/recipes/Easy-Blueberry-Muffin-641854
Bon “Apple” Tite Cinnamon Rolls,breakfast,lacto ovo vegetarian,539.49,7.35,27.7,70.14,2.43,45.15,2.02,638.52,24.3,https://spoonacular.com/recipes/Bon-“Apple”-Tite-Cinnamon-Rolls-635649
Bacon and Arugula Quiche,breakfast,unknown,224.39,7.5,19.35,5.82,1.04,2.12,1.21,201.09,84.31,https://spoonacular.com/recipes/Bacon-and-Arugula-Quiche-633267
Strawberry Scones,breakfast,lacto ovo vegetarian,271.27,5.45,12.76,35.88,3.36,14.07,1.03,214.85,55.38,https://spoonacular.com/recipes/Strawberry-Scones-1646939
Warm Mixed Berry Crumb Cake,breakfast,lacto ovo vegetarian,412.94,6.59,11.93,71.82,3.18,42.43,2.43,348.42,82.07,https://spoonacular.com/recipes/Warm-Mixed-Berry-Crumb-Cake-664964
Healthy Blueberry Lemon Pancakes,breakfast,lacto ovo vegetarian,218.38,12.41,0.95,41.96,4.95,16.1,1.05,410.38,2.59,https://spoonacular.com/recipes/Healthy-Blueberry-Lemon-Pancakes-646443
Breakfast Biscuits and Gravy,breakfast,unknown,1163.49,42.41,82.68,61.31,1.84,14.8,5.14,2471.31,231.47,https://spoonacular.com/recipes/Breakfast-Biscuits-and-Gravy-636026
Tostone Stuffed Pancakes with a Chocolate Peanut Butter Syrup,breakfast,unknown,168.04,3.11,4.44,30.13,0.61,21.36,0.77,267.97,28.55,https://spoonacular.com/recipes/Tostone-Stuffed-Pancakes-with-a-Chocolate-Peanut-Butter-Syrup-663732
Tiramisu Overnight Oats,breakfast,"gluten free, lacto ovo vegetarian",548.99,22.16,21.52,66.66,6.9,32.14,2.59,95.39,45.8,https://spoonacular.com/recipes/Tiramisu-Overnight-Oats-1697783
Sweet Potatoes Muffins,breakfast,dairy free,237.46,1.75,8.88,38.88,1.52,23.04,0.7,227.34,10.91,https://spoonacular.com/recipes/Sweet-Potatoes-Muffins-662610
artichoke leek frittata,breakfast,unknown,338.73,22.06,20.55,16.92,2.08,3.39,2.59,947.37,250.54,https://spoonacular.com/recipes/artichoke-leek-frittata-667698
Fresh Strawberry Baked Mini Donuts with Strawberry-Lime Glaze,breakfast,lacto ovo vegetarian,72.1,1.3,1.07,14.9,0.51,9.74,0.37,36.6,10.99,https://spoonacular.com/recipes/Fresh-Strawberry-Baked-Mini-Donuts-with-Strawberry-Lime-Glaze-643602
Gluten Free Pancakes,breakfast,"gluten free, lacto ovo vegetarian",105.03,3.2,5.59,11.78,1.19,3.0,0.63,61.18,31.61,https://spoonacular.com/recipes/Gluten-Free-Pancakes-644848
Fruit Filled Coffee Cake,breakfast,unknown,204.86,1.74,8.82,31.18,0.58,23.06,0.51,166.01,48.84,https://spoonacular.com/recipes/Fruit-Filled-Coffee-Cake-63225
Tropical Steel Cut Oatmeal,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",463.64,15.63,17.12,64.55,10.29,8.29,4.08,46.95,0.0,https://spoonacular.com/recipes/Tropical-Steel-Cut-Oatmeal-663867
Bacon-Apple-Pecan Stuffed French Toast,breakfast,unknown,643.33,16.4,51.64,30.94,2.99,12.3,7.14,696.35,158.17,https://spoonacular.com/recipes/Bacon-Apple-Pecan-Stuffed-French-Toast-1697823
Lemon Coconut Granola,breakfast,"gluten free, dairy free, lacto ovo vegetarian",251.64,5.59,14.44,28.75,5.43,12.08,1.73,9.27,0.0,https://spoonacular.com/recipes/Lemon-Coconut-Granola-649567
Asparagus Quiche,breakfast,unknown,288.37,9.25,25.17,7.8,1.17,3.71,1.11,325.25,121.1,https://spoonacular.com/recipes/Asparagus-Quiche-632949
Blueberry Cinnamon Porridge,breakfast,"gluten free, dairy free, lacto ovo vegetarian, fodmap friendly, vegan",779.55,4.11,74.01,36.31,4.31,10.04,1.58,32.06,0.0,https://spoonacular.com/recipes/Blueberry-Cinnamon-Porridge-635446
Gingerbread Pancakes,breakfast,lacto ovo vegetarian,164.84,3.69,6.04,24.77,1.12,5.48,1.41,398.48,38.2,https://spoonacular.com/recipes/Gingerbread-Pancakes-644690
Homemade Chewy Granola Bars,breakfast,unknown,517.99,10.19,26.29,66.23,5.27,42.12,2.57,140.19,20.34,https://spoonacular.com/recipes/Homemade-Chewy-Granola-Bars-646941
Fresh Blueberry Pancakes,breakfast,lacto ovo vegetarian,551.78,19.18,17.6,80.01,5.44,23.78,4.76,966.09,219.03,https://spoonacular.com/recipes/Fresh-Blueberry-Pancakes-715638
Blackberry Scones with Orange Zest (gluten-free),breakfast,lacto ovo vegetarian,158.52,3.69,7.89,18.91,1.64,9.22,0.63,203.46,51.24,https://spoonacular.com/recipes/Blackberry-Scones-with-Orange-Zest-(gluten-free)-50423
Breakfast: Waffles,breakfast,lacto ovo vegetarian,483.08,13.5,18.59,65.17,1.48,22.79,3.54,789.29,180.98,https://spoonacular.com/recipes/Breakfast:-Waffles-636087
Gluten-Free Baked Oatmeal,breakfast,"dairy free, fodmap friendly",177.77,3.68,8.0,23.47,1.84,11.13,1.06,169.11,37.24,https://spoonacular.com/recipes/Gluten-Free-Baked-Oatmeal-644867
Apple and Potato Fritatta,breakfast,"gluten free, lacto ovo vegetarian",208.71,8.8,11.99,16.99,2.62,4.12,1.41,131.55,170.74,https://spoonacular.com/recipes/Apple-and-Potato-Fritatta-632463
Sterling Cooper Blini with Caviar,breakfast,pescatarian,83.52,1.49,7.03,3.84,0.0,0.78,0.37,82.89,34.06,https://spoonacular.com/recipes/Sterling-Cooper-Blini-with-Caviar-661602
Cheese and Corn Scones,breakfast,unknown,230.16,5.03,13.32,23.57,1.45,2.16,1.42,287.97,45.29,https://spoonacular.com/recipes/Cheese-and-Corn-Scones-471334
"Red, White & Blue Crepes: Happy July 4th! @driscollsberry",breakfast,unknown,254.25,6.22,7.41,44.18,7.67,27.37,1.13,356.04,27.12,"https://spoonacular.com/recipes/Red,-White-&-Blue-Crepes:-Happy-July-4th!-@driscollsberry-716414"
Huevos Rancheros,breakfast,"gluten free, lacto ovo vegetarian",100.99,0.37,10.56,1.83,0.61,0.64,0.0,33.26,1.36,https://spoonacular.com/recipes/Huevos-Rancheros-647608
"Apple, Cherry, Pear and Almond Breakfast Muffins",breakfast,unknown,264.12,5.21,13.97,31.41,2.56,16.79,0.76,151.89,56.37,"https://spoonacular.com/recipes/Apple,-Cherry,-Pear-and-Almond-Breakfast-Muffins-632614"
Honey Pine Nuts Muffins,breakfast,lacto ovo vegetarian,248.65,4.71,11.91,32.62,0.95,15.52,1.75,263.12,26.25,https://spoonacular.com/recipes/Honey-Pine-Nuts-Muffins-647268
Bunny Eggs Kids Breakfast,breakfast,"gluten free, primal",213.02,8.0,19.36,1.08,0.0,0.33,0.51,319.99,98.81,https://spoonacular.com/recipes/Bunny-Eggs-Kids-Breakfast-636458
Asian Soft Scrambled Eggs,breakfast,"gluten free, dairy free, fodmap friendly, whole 30, pescatarian, ketogenic",105.83,8.43,7.3,1.03,0.0,0.27,1.21,466.4,245.52,https://spoonacular.com/recipes/Asian-Soft-Scrambled-Eggs-632884
Breakfast Pretzels,breakfast,lacto ovo vegetarian,40.38,0.81,1.63,5.56,0.35,1.3,0.27,32.33,2.59,https://spoonacular.com/recipes/Breakfast-Pretzels-636066
Coconut Flour Pancakes with Blueberry Honey Compote,breakfast,"gluten free, dairy free, lacto ovo vegetarian",753.33,15.94,37.83,92.84,9.87,72.23,4.75,431.85,327.36,https://spoonacular.com/recipes/Coconut-Flour-Pancakes-with-Blueberry-Honey-Compote-639769
White Chocolate Macadamia Banana Bread,breakfast,unknown,519.88,8.54,24.68,69.2,2.77,40.63,2.29,416.86,73.54,https://spoonacular.com/recipes/White-Chocolate-Macadamia-Banana-Bread-665182
Meatless Eggs Benedict,breakfast,lacto ovo vegetarian,605.48,20.53,45.02,29.41,1.63,1.33,2.85,1170.52,696.92,https://spoonacular.com/recipes/Meatless-Eggs-Benedict-646982
Strawberry Banana Stuffed Pancakes,breakfast,lacto ovo vegetarian,170.94,10.16,0.99,32.1,4.32,12.01,1.12,530.69,1.67,https://spoonacular.com/recipes/Strawberry-Banana-Stuffed-Pancakes-661758
Cherry Pancakes for One,breakfast,lacto ovo vegetarian,66.68,4.14,0.33,12.29,1.55,5.99,0.41,140.61,0.83,https://spoonacular.com/recipes/Cherry-Pancakes-for-One-637776
"Watermelon, Kiwi, Apple and Frozen Banana Smoothie",breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, vegan",77.31,1.08,0.37,19.38,2.18,12.66,0.32,3.71,0.0,"https://spoonacular.com/recipes/Watermelon,-Kiwi,-Apple-and-Frozen-Banana-Smoothie-665040"
6 Quick & Easy Smoothies To Start Your Morning,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, vegan",199.06,2.63,0.86,49.53,4.26,37.04,0.77,6.28,0.0,https://spoonacular.com/recipes/6-Quick-&-Easy-Smoothies-To-Start-Your-Morning-1697525
Banana Smoothie Boost,breakfast,gluten free,42.5,0.58,0.94,8.94,0.95,5.59,0.0,54.74,0.0,https://spoonacular.com/recipes/Banana-Smoothie-Boost-634180
Green Tea Fruit Medley Smoothie,breakfast,"gluten free, lacto ovo vegetarian, primal",45.37,1.8,0.51,8.89,0.75,7.46,0.21,25.3,1.53,https://spoonacular.com/recipes/Green-Tea-Fruit-Medley-Smoothie-645530
Chocolate Chip Muffins,breakfast,unknown,605.34,11.53,17.69,101.34,5.03,52.76,5.39,392.96,50.21,https://spoonacular.com/recipes/Chocolate-Chip-Muffins-638936
Pineapple Coconut Muffins,breakfast,lacto ovo vegetarian,179.54,3.43,5.74,29.19,1.15,13.55,1.24,218.65,29.14,https://spoonacular.com/recipes/Pineapple-Coconut-Muffins-656125
Overnight Steel Cut Oatmeal,breakfast,"gluten free, lacto ovo vegetarian",188.83,6.55,5.67,28.8,4.77,1.8,1.73,34.71,7.53,https://spoonacular.com/recipes/Overnight-Steel-Cut-Oatmeal-654274
Torta (Filipino Omelet),breakfast,"gluten free, dairy free, lacto ovo vegetarian",174.2,6.81,10.1,15.0,1.66,2.41,1.78,606.47,122.76,https://spoonacular.com/recipes/Torta-(Filipino-Omelet)-663680
Apple Graham Cracker Coffee Cake,breakfast,lacto ovo vegetarian,580.62,8.87,19.9,95.34,6.98,50.14,3.16,645.44,99.63,https://spoonacular.com/recipes/Apple-Graham-Cracker-Coffee-Cake-632549
My Grandmother's Migas,breakfast,dairy free,56.23,2.26,4.11,2.91,0.38,0.27,0.38,970.85,5.38,https://spoonacular.com/recipes/My-Grandmother's-Migas-652864
Nori Seaweed Muffins,breakfast,dairy free,249.34,3.87,14.22,27.31,0.42,14.98,0.53,359.55,54.56,https://spoonacular.com/recipes/Nori-Seaweed-Muffins-653270
Carrot Cake Pancakes,breakfast,lacto ovo vegetarian,142.77,3.77,5.44,21.15,2.31,4.96,0.75,259.66,27.33,https://spoonacular.com/recipes/Carrot-Cake-Pancakes-637184
Egg and Dairy Free Pancakes,breakfast,dairy free,66.67,1.41,3.01,8.93,0.9,1.06,0.5,142.77,0.0,https://spoonacular.com/recipes/Egg-and-Dairy-Free-Pancakes-642178
Raisin Scones,breakfast,lacto ovo vegetarian,159.69,2.77,5.86,24.75,0.91,5.7,1.22,171.16,30.55,https://spoonacular.com/recipes/Raisin-Scones-657768
Gluten Free Cinnamon Apple Muffins,breakfast,"dairy free, lacto ovo vegetarian",52.92,1.55,1.21,9.69,1.5,7.22,0.32,16.92,40.92,https://spoonacular.com/recipes/Gluten-Free-Cinnamon-Apple-Muffins-644810
Rich Jelly Scones,breakfast,lacto ovo vegetarian,640.18,13.71,29.14,81.54,3.59,29.42,4.11,509.89,197.12,https://spoonacular.com/recipes/Rich-Jelly-Scones-658300
Ginger-Wheat Mulberry Muffins,breakfast,lacto ovo vegetarian,148.05,2.4,5.51,23.38,1.01,13.94,0.83,146.44,23.09,https://spoonacular.com/recipes/Ginger-Wheat-Mulberry-Muffins-644675
Matcha Pancakes,breakfast,dairy free,534.58,13.11,20.85,73.36,2.13,24.06,4.41,1000.34,88.14,https://spoonacular.com/recipes/Matcha-Pancakes-756817
Easy Homemade Apple Fritters,breakfast,lacto ovo vegetarian,148.29,1.86,0.76,34.2,0.62,25.26,0.64,207.61,14.68,https://spoonacular.com/recipes/Easy-Homemade-Apple-Fritters-775666
Gingerbread Waffles With Cinnamon Peach Topping,breakfast,unknown,281.27,4.57,16.0,32.59,2.99,22.31,1.74,351.56,57.91,https://spoonacular.com/recipes/Gingerbread-Waffles-With-Cinnamon-Peach-Topping-644699
Peanut Butter and Jelly Granola Bars,breakfast,unknown,628.5,14.12,25.27,91.51,6.93,42.38,2.94,349.66,15.27,https://spoonacular.com/recipes/Peanut-Butter-and-Jelly-Granola-Bars-673425
Buttermilk Coffee Cake,breakfast,lacto ovo vegetarian,407.31,6.49,20.72,50.55,1.51,29.02,1.91,312.71,76.07,https://spoonacular.com/recipes/Buttermilk-Coffee-Cake-636545
Zucchini Pineapple Muffins,breakfast,"dairy free, lacto ovo vegetarian",155.59,3.49,3.52,29.25,1.82,19.83,0.96,521.78,0.0,https://spoonacular.com/recipes/Zucchini-Pineapple-Muffins-665767
Pecan Waffles,breakfast,gluten free,859.27,8.45,63.08,69.14,4.74,52.51,1.32,1365.33,118.62,https://spoonacular.com/recipes/Pecan-Waffles-655537
Gluten Free Quinoa and Corn Flour Crepes,breakfast,"gluten free, dairy free, lacto ovo vegetarian, vegan",423.0,4.27,17.16,65.98,2.69,10.13,1.32,218.79,0.0,https://spoonacular.com/recipes/Gluten-Free-Quinoa-and-Corn-Flour-Crepes-644854
Pancake Bites,breakfast,fodmap friendly,78.46,1.32,4.5,8.21,0.0,4.02,0.18,100.88,17.37,https://spoonacular.com/recipes/Pancake-Bites-654485
Vegan French Toast,breakfast,dairy free,665.01,13.91,29.61,92.43,11.44,45.43,4.11,501.87,0.0,https://spoonacular.com/recipes/Vegan-French-Toast-1095748
Miniature Vegetable Quiches,breakfast,"gluten free, lacto ovo vegetarian, primal, ketogenic",74.61,3.08,6.12,1.99,0.47,1.18,0.49,243.13,70.72,https://spoonacular.com/recipes/Miniature-Vegetable-Quiches-651996
Peachy NanaNut Smoothie,breakfast,"gluten free, lacto ovo vegetarian",87.77,4.15,4.25,9.85,1.76,7.46,0.42,59.99,0.75,https://spoonacular.com/recipes/Peachy-NanaNut-Smoothie-655195
Triple Chocolate Vegan Banana Bread,breakfast,dairy free,501.05,10.99,17.8,87.14,13.72,37.04,5.87,227.33,0.68,https://spoonacular.com/recipes/Triple-Chocolate-Vegan-Banana-Bread-663834
Dried Cherry-Almond Scones,breakfast,lacto ovo vegetarian,216.83,5.54,7.39,32.1,2.12,5.74,1.93,197.73,34.54,https://spoonacular.com/recipes/Dried-Cherry-Almond-Scones-641650
Gluten-free Pumpkin Doughnut Holes (a.k.a. Mini Muffins),breakfast,"gluten free, lacto ovo vegetarian",65.92,0.61,4.09,7.48,0.75,4.5,0.27,70.49,14.07,https://spoonacular.com/recipes/Gluten-free-Pumpkin-Doughnut-Holes-(a.k.a.-Mini-Muffins)-644898
Matcha Smoothie,breakfast,gluten free,407.86,24.34,17.3,42.99,6.08,26.43,1.78,227.77,11.35,https://spoonacular.com/recipes/Matcha-Smoothie-1095931
Vegetable Cheddar Quiche,breakfast,unknown,279.51,6.78,21.76,14.76,1.43,1.91,0.95,426.19,20.54,https://spoonacular.com/recipes/Vegetable-Cheddar-Quiche-664533
Cake Mix Donuts,breakfast,unknown,388.55,2.69,8.09,77.55,0.71,50.86,1.31,508.73,0.0,https://spoonacular.com/recipes/Cake-Mix-Donuts-1499853
